Row,Activity,Sex,Age,Type,Species,Fatal
21,Swimming,F,55,Unprovoked,white shark,N
1101,Standing,M,10,Unprovoked,tiger shark,N
728,Surfing,M,35,Unprovoked,tiger shark,N
1385,Surfing,M,16,Unprovoked,unknown,N
1463,Spearfishing,M,15,Unprovoked,nurse shark,N
819,Surfing,M,20,Unprovoked,tiger shark,N
99,Swimming,F,22,Unprovoked,bull shark,N
27,Surfing,M,20,Unprovoked,unknown,N
1282,Surfing,F,39,Unprovoked,Other,N
234,Swimming,M,66,Unprovoked,unknown,Y
859,Spearfishing,M,38,Unprovoked,bronze whaler,N
386,Surfing,M,41,Unprovoked,bronze whaler,N
152,Surfing,M,38,Unprovoked,white shark,N
1557,Spearfishing,M,24,Unprovoked,Other,N
388,boarding,F,24,Unprovoked,unknown,N
948,boarding,M,16,Unprovoked,white shark,N
252,Surfing,M,25,Unprovoked,tiger shark,N
1859,Swimming,M,19,Unprovoked,unknown,Y
1368,Other,M,35,Provoked,grey nurse,N
163,Swimming,M,6,Unprovoked,tiger shark,N
1078,Surfing,M,15,Unprovoked,white shark,N
549,Surfing,M,23,Unprovoked,unknown,N
1201,Surfing,M,27,Unprovoked,white shark,N
1361,Surfing,M,15,Unprovoked,tiger shark,N
1333,Spearfishing,M,29,Unprovoked,unknown,N
98,Swimming,M,13,Unprovoked,unknown,N
15,Surfing,M,19,Unprovoked,white shark,N
1005,Fishing,M,21,Unprovoked,Other,N
217,Surfing,M,51,Unprovoked,Other,N
893,Swimming,M,26,Unprovoked,unknown,N
320,Surfing,M,29,Unprovoked,unknown,N
95,Other,F,60,Unprovoked,unknown,Y
733,Wading,F,41,Unprovoked,unknown,N
282,boarding,M,53,Unprovoked,Other,N
902,Surfing,M,18,Unprovoked,unknown,N
1706,Swimming,F,32,Unprovoked,white shark,Y
1286,Other,M,16,Unprovoked,unknown,N
752,Surfing,M,34,Provoked,unknown,N
